"Fluorophore","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"BV570_DayAfter",-3.39215087890625,-17.6612701416016,828.83447265625,461.012084960938,518.726440429688,280.393188476562,-55.987548828125,2391.50354003906,46747.5357666016,15947.9655761719,4988.11441040039,2295.96350097656,1350.76140594482,1217.44583129883,815.335494995117,479.081321716309,22326.7086791992,20603.335144043,20354.9626464844,7945.42474365234,3408.24328613281,2219.67150878906,7874.85498046875,186275.91784668,97952.4395751953,105586.808837891,29468.9248657227,13053.6036071777,8317.63247680664,5499.18063354492,3760.18585205078,1589.69416809082,163.575927734375,211.572021484375,1004.74035644531,18696.8397827148,11638.1039733887,8791.95758056641,3930.77822875977,2521.55973815918,2229.32649230957,1088.24942016602,585.547744750977,450.927398681641,306.578804016113,309.942901611328,-3.8652229309082,-5.97832107543945,-4.58541870117188,0.729183197021484,-4.73431777954102,-7.52596282958984,9.99219131469727,-10.0964546203613
"Pacific Blue_DayAfter",-5.64133834838867,10.9337615966797,156.063079833984,325.661224365234,592.271911621094,925.838989257812,1422.17163085938,746.878540039062,501.27099609375,171.265777587891,71.8915710449219,44.0420150756836,31.3981552124023,35.1735916137695,40.895866394043,36.9553909301758,701.777130126953,4638.63958740234,8240.53051757812,5299.45428466797,2943.37316894531,1711.12866210938,1529.25183105469,666.874877929688,434.81201171875,419.292053222656,203.170379638672,123.414749145508,120.060455322266,93.7954254150391,120.719848632812,68.2090148925781,-21.3507690429688,-21.1354370117188,7.79827880859375,11.9242553710938,19.5963592529297,32.3758087158203,44.8874969482422,36.8459243774414,41.4123001098633,20.2718124389648,14.4792785644531,14.5220680236816,12.6085433959961,26.0609893798828,9.66268157958984,-0.192962646484375,0.226198196411133,0.729183197021484,10.0268402099609,2.63152694702148,16.4586296081543,5.27895355224609
"FITC_DayAfter",-2.3226203918457,-9.96636199951172,47.6878051757812,87.7940673828125,186.815673828125,340.020568847656,4370.349609375,3308.43054199219,1819.67370605469,505.282470703125,157.466506958008,58.5945663452148,51.6671981811523,59.6956787109375,30.6998291015625,37.104736328125,40.5349273681641,149.587158203125,257.093872070312,283.974792480469,3551.34899902344,6122.43591308594,6616.95703125,3102.89367675781,1786.34924316406,1549.41650390625,542.791076660156,273.785430908203,260.375885009766,210.893798828125,215.456481933594,123.293563842773,112566.69921875,164792.799194336,110062.945678711,23223.6610717773,14466.7983093262,8119.31207275391,2587.8401184082,1426.76457214355,1264.78785705566,654.913360595703,381.675552368164,303.473236083984,232.28670501709,252.645141601562,-2.19899368286133,3.76054000854492,13.1096305847168,5.83001899719238,7.26526260375977,15.7863845825195,15.2830009460449,0.16468620300293
"BUV395_DayAfter",4183.86389923096,16701.7082519531,8278.06201171875,6213.79821777344,5704.57336425781,5619.40478515625,3739.92602539062,1271.55078125,484.718139648438,94.7089233398438,34.654052734375,14.9757766723633,9.17837524414062,17.7400054931641,15.0532760620117,3.32196807861328,71.6490783691406,93.1748962402344,85.3201904296875,68.2756958007812,69.3616333007812,64.6089477539062,91.7552490234375,57.5852661132812,33.56689453125,49.9849853515625,-6.37460327148438,12.4226989746094,4.28031921386719,-6.54959106445312,-10.6244506835938,5.40826416015625,59.921142578125,86.357666015625,86.177734375,36.7068786621094,35.204833984375,27.3778686523438,28.2563781738281,8.53044891357422,32.4440536499023,4.02626037597656,14.067008972168,9.23447799682617,3.16115188598633,-3.63385009765625,1.53230476379395,3.3751106262207,3.45496368408203,-3.44500541687012,1.51247406005859,-8.89155769348145,7.15186309814453,2.96934127807617
"RB705_DayAfter",-4.20372772216797,3.44847106933594,68.6226806640625,125.871276855469,241.187744140625,396.098876953125,804.495849609375,483.851440429688,335.392700195312,130.04541015625,118.572357177734,808.157287597656,1645.92510223389,1348.17971801758,1203.68504333496,828.407493591309,48.6825256347656,79.8132934570312,122.2802734375,86.6293334960938,153.471923828125,130.271240234375,187.818359375,178.554321289062,132.990112304688,130.71826171875,209.018920898438,1802.90487670898,3796.71841430664,2102.60104370117,1935.60015869141,952.246047973633,351.7109375,665.658569335938,541.218139648438,208.389770507812,149.545684814453,99.1549682617188,518.691375732422,4819.03483581543,27277.9600372314,30465.7326965332,15302.7890167236,11728.1262512207,11333.0407180786,11020.0847167969,57.8424377441406,833.96732711792,4157.9920539856,5530.94776153564,3422.40875244141,2233.5068397522,2903.59370422363,1476.41021347046
"BV510_DayAfter",19.1003952026367,-0.756393432617188,82.3017578125,780.121704101562,4594.76501464844,20429.1735839844,114113.116455078,94563.6856689453,77470.7271728516,27715.4987792969,9876.85317993164,4558.66369628906,3260.64336395264,3173.31399536133,2219.90660095215,1523.77394866943,383.275268554688,4809.09197998047,25811.7145996094,63072.6854858398,169153.015258789,171857.758666992,235014.740722656,160785.76159668,105235.423950195,97871.5354003906,32864.3838500977,14698.3614196777,11170.6344299316,7943.80514526367,5827.09600830078,2722.59248352051,636.6064453125,599.781982421875,548.693115234375,220.960693359375,176.927520751953,139.932037353516,74.8244018554688,55.05419921875,59.4618988037109,27.617919921875,23.106803894043,26.0649719238281,10.5134506225586,28.7767639160156,1.99909210205078,-9.83552932739258,-5.87611770629883,-4.10721969604492,4.66789245605469,0.533744812011719,-4.44147872924805,8.38027572631836
"Alexa Fluor 647_Reference",0,0,0,0,0,0,0,0,0,0,0.0033027522935779,0.00290137614678898,0.00180045871559631,0.00169724770642199,0.00090022935779821,0.000602064220183607,9.74770642201417e-05,0.000298165137614603,0,0,0,0,0,0,0,0,0.00529816513761472,0.00490252293577997,0.00270068807339452,0.00209862385321113,0.00090022935779821,0.000200688073394462,0,0,0,0,0,0,0.00470183486238529,0.00599770642201836,0.00409977064220191,0.00180045871559631,0.00119839449541281,0.00090022935779821,0.000498853211009287,0.000498853211009287,0.536800458715596,1,0.713199541284404,0.429300458715596,0.336198394495413,0.215,0.172700688073394,0.0736009174311927
"Alexa Fluor 700_Reference",0,0,0,0,0,0,0,0,0,0,0,0.00520068807339458,0.0359002293577981,0.0334002293577983,0.0177981651376148,0.0136009174311927,0,0,0,0,0,0,0,0,0,0,0,0.0281020642201836,0.182201834862385,0.132798165137615,0.0675000000000001,0.0318004587155963,0,0,0,0,0,0,0,0,0.00749999999999995,0.0218979357798166,0.0136983944954129,0.00830275229357802,0.00580275229357796,0.0059002293577981,0.0022993119266056,0.0390022935779816,0.304598623853211,1,0.863801605504587,0.423801605504587,0.400401376146789,0.202700688073394
"APC_Reference",0,0.000200688073394462,0.000200688073394462,0.000298165137614603,0.000401376146788923,0.000602064220183607,0,0,0,0.000602064220183607,0.0715022935779817,0.0231995412844036,0.018302752293578,0.0208027522935781,0.00880160550458708,0.00689793577981657,0,0,0,0,0,0,0,0,0,0,0.197001146788991,0.0638016055045872,0.0563990825688074,0.0513990825688073,0.0222018348623854,0.0100974770642202,0,0,0,0,0,0,0.024598623853211,0.0140022935779817,0.00720183486238535,0.00509747706422026,0.00409977064220191,0.0025974770642202,0.00150229357798171,0.00169724770642199,1,0.899002293577982,0.438302752293578,0.3675,0.363199541284404,0.19509747706422,0.146301605504587,0.0766972477064221
"APC-Cy7_Reference",0,0,0,0,0,0,0,0,0,0,0.00209862385321113,0.000699541284403749,0.000802752293578068,0.0138990825688073,0.0534002293577983,0.0406995412844038,0,0,0,0,0,0,0,0,0,0,0.0056020642201835,0.00159977064220185,0.00220183486238545,0.0277006880733945,0.133801605504587,0.064197247706422,0,0,0,0,0,0,0.000498853211009287,0.000200688073394462,0,0,0.000997706422018352,0.00610091743119257,0.0129988532110091,0.011697247706422,0.0402981651376146,0.0359002293577981,0.0184977064220183,0.0191972477064221,0.070802752293578,0.357001146788991,1,0.505699541284404
"BUV395_Reference",0.283899082568807,1,0.522098623853211,0.36759747706422,0.338698394495413,0.318199541284404,0.181100917431193,0.0509002293577983,0.015802752293578,0.0106020642201836,0.000298165137614603,0,0,0,0,0,0.00310206422018344,0.00340022935779827,0.00119839449541281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUV496_Reference",0.01,0.0372018348623853,0.0306995412844038,0.0268004587155963,0.0359977064220183,0.19259747706422,1,0.527201834862385,0.244002293577982,0.0602006880733945,0.0163016055045873,0.00639908256880739,0.00409977064220191,0.0033027522935779,0.00200114678899088,0.00130160550458713,0.000298165137614603,0.00110091743119267,0.00799885321100924,0.0572018348623853,0.19,0.142001146788991,0.15259747706422,0.055,0.0304013761467889,0.0236009174311927,0.00500000000000012,0.00159977064220185,0.000699541284403749,0.000200688073394462,0,0,0.0604988532110092,0.0388990825688073,0.0286983944954128,0.00720183486238535,0.00380160550458719,0.00169724770642199,9.74770642201417e-05,0,0,0,0,0,0,9.74770642201417e-05,0,0,0,0,0,0,0,0
